epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.7042,2.11059,4.47202,2.2044,0.00143,0.42857,0.14963,0.05096,3.08425,4.52296,2.9994,0.00034,0.00034,0.00034
2,156.175,1.20055,2.92808,1.36404,0.00314,0.94286,0.11611,0.05587,1.70596,3.67039,2.13331,0.0006307,0.0006307,0.0006307
3,228.304,0.69708,1.87998,1.00569,0.79046,0.85714,0.85799,0.52848,1.26981,2.80994,1.38731,0.00085012,0.00085012,0.00085012
4,300.475,0.65092,1.58301,0.93617,1,0.93697,0.94508,0.88672,0.58695,1.2667,0.88301,0.00099826,0.00099826,0.00099826
5,372.416,0.62361,1.39706,0.91819,1,0.93994,0.94552,0.87805,0.58677,1.09657,0.85577,0.00107512,0.00107512,0.00107512
6,444.189,0.52085,1.30154,0.87363,0.99718,0.94286,0.983,0.90215,0.50179,0.86056,0.81701,0.00101,0.00101,0.00101
7,515.635,0.50459,1.16408,0.87037,0.99731,0.94286,0.98275,0.88027,0.42708,0.92837,0.78863,0.000812,0.000812,0.000812
8,586.51,0.45157,1.08984,0.83825,0.96899,1,0.99361,0.91962,0.45932,0.84678,0.78644,0.000614,0.000614,0.000614
9,657.964,0.45773,1.05691,0.84789,0.9958,1,0.995,0.91666,0.42712,0.72782,0.78395,0.000416,0.000416,0.000416
10,729.367,0.41827,1.04732,0.82775,0.96769,1,0.99361,0.92904,0.37784,0.71635,0.78249,0.000218,0.000218,0.000218
